,index,Unnamed: 0.1,Unnamed: 0,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,buy_volume_oe,sell_volume_oe,bid1_size_n,bid2_size_n,bid3_size_n,bid4_size_n,bid5_size_n,ask1_size_n,ask2_size_n,ask3_size_n,ask4_size_n,ask5_size_n,buy_spread_oe,sell_spread_oe,imblance_volume_oe,open,high,close,low,wap,trade_diff,trade_speard,kmid,klen,kmid2,kup,kup2,klow,klow2,ksft,ksft2,roc_10,roc_30,roc_60,ma_10,ma_30,ma_60,std_10,std_30,std_60,beta_10,beta_30,beta_60,max_10,max_30,max_60,min_10,min_30,min_60,qtlu_10,qtlu_30,qtlu_60,qtld_10,qtld_30,qtld_60,rsv_10,rsv_30,rsv_60,imax_10,imax_30,imax_60,imin_10,imin_30,imin_60,imxd_10,imxd_30,imxd_60,cntp_10,cntp_30,cntp_60,cntn_10,cntn_30,cntn_60,cntd_10,cntd_30,cntd_60,BTC,timestamp,pct_return,key_indicator_filtered,pct_return_filtered,label,tic
0,0,0,75000,23090.7,1.40410852,23090.1,0.00932146,23090.0,0.12743,23089.5,0.12743,23089.1,0.0003,23090.8,0.00717,23091.9,0.01162999,23092.0,0.00717,23092.9,0.04329297,23093.0,0.005,-0.0634406867217056,-0.1111388858044048,1.5737488048828812,-0.6969897488117164,-0.37389374679024,-0.4178964524484652,-0.8027741914572666,-1.048981224290422,0.1366075077729278,-0.2372730963504016,2.204320440639524,-0.4724864312779846,-0.452935254522613,0.163251200754023,1.1446767282472723,-0.8562934199926094,-0.8507737401414914,-0.8503436791779356,-0.8558421693235234,-0.8533271200057434,2.216255816355688,1.574144173142235,2.2518775928407546,1.598742458888006,2.4789443026260334,-0.1030992897248551,-0.146724758572024,-0.1126924907001257,-0.1650260102604531,2.218052162965736,2.357575572130795,-0.4221057357871979,1.383555731575338,0.4249552674747934,-0.8055754728439866,0.5257021344751881,0.7141162959624708,-0.2428957082142512,1.0730090504467598,0.4489789676041867,-0.4221057357862608,1.3835557315757068,0.4249552674740441,-0.47401804529425,1.2379307337039096,0.6745092146872055,-0.3502378070849604,0.1914614128009576,0.4164328549844958,-0.9693193902439818,1.4508389868477298,0.8566337396134915,-0.5769952884342806,0.0048460078298635,0.2340763461820665,1.2106593819606837,-0.8419908624912196,-0.9184333142481486,1.8260293387207736,-1.0796221982344345,0.2257256020003639,1.1690762519964877,1.4174354117268668,1.4791113606871718,0.3862605964011759,-1.4458283266147511,-0.7228638286331773,0.2681377752739259,-0.5068734419697584,1.1523839029948098,0.7988676822668856,2.5216335572147046,1.4930689569941376,-0.3738004086794267,-2.3802412605375154,-0.3582182821852026,HFT_small_BTC,0,0.0,23090.70303142437,0.0,1,default
1,1,1,75001,23090.7,1.53738154,23090.5,0.10854628,23090.0,0.12743,23089.5,0.12743,23089.1,0.0003,23090.8,0.00787,23092.0,0.00717,23093.1,0.00747,23093.9,0.005,23094.0,0.03191738,-0.0561976192035949,-0.111594710875726,1.462116623124387,-0.4205800434708371,-0.4227121903545697,-0.4642361231260711,-0.8028739856745751,-0.9278761495758808,-0.0579509146807186,-0.0810533208469531,-0.3475560584424237,1.7236676125593855,-0.452935254522613,1.2959181396627335,1.1752462260579224,-0.8503235985185282,-0.8507737401414914,-0.8503436791779356,-0.8498723685777162,-0.8503122928785548,-0.009216854801391,-0.2800557017080191,-0.0091532634296708,-0.2775753457794571,-0.0228543762226752,-0.1030992897248551,-0.146724758572024,-0.1126924907001257,-0.1650260102604531,-0.0162379740272818,-0.0319852834140999,-0.4071001731790178,1.2850859543363344,0.4249552674747934,-0.7274993170188064,0.4482274844034682,0.7014113444630965,-0.0956880763198995,0.9746780762753912,0.4606256176122753,-0.4071001731782533,1.2850859543369848,0.4249552674740441,-0.47401804529425,1.1097461079212685,0.6745092146872055,-0.3502378070849604,0.1914614128009576,0.4164328549844958,-0.8365490875957826,0.8064765683526022,0.8566337396134915,-0.5769952884342806,0.0048460078298635,0.2340763461820665,1.2106593819606837,-0.7659777701040476,-0.9184333142481486,1.5273290177956096,-1.0796221982344345,0.1789280893131845,0.8732911485040546,1.3239889809434713,1.4323033865429389,0.3862605964011759,-1.3916824165501462,-0.7228638286331773,-0.3619825734974841,-0.5068734419697584,1.1523839029948098,0.7988676822668856,2.2394528491079035,1.4930689569941376,-0.7954356364612771,-2.1569465383320883,-0.3582182821852026,HFT_small_BTC,1,0.0,23090.46095921212,-1.048353581656336e-05,1,default
2,2,2,75002,23089.1,0.0003,23088.9,0.00073028,23088.5,0.00717,23087.4,0.01170146,23087.3,0.00717,23089.2,1.72879406,23089.9,0.62540616,23090.1,0.61002732,23090.7,0.45137335,23090.8,1.64144644,-0.1145793443734508,0.0419577939906107,-1.251730095909809,-0.5822129434721652,0.611284771359669,1.347752586413684,0.3984527875927301,-0.2210325317692056,-0.0416154658159789,-0.1082261353195391,-0.3213636650177697,0.7302232077545654,-0.2225125497224663,-0.5163489625936761,-1.2219239341919912,-0.8493002005515391,-0.849750346087127,-0.8493202867994392,-0.8488489741641455,-0.8492888988839342,-0.009216854801391,-0.2800557017080191,-0.0091532634296708,-0.2775753457794571,-0.0228543762226752,-0.1030992897248551,-0.146724758572024,-0.1126924907001257,-0.1650260102604531,-0.0162379740272818,-0.0319852834140999,-0.497120681734416,1.14555725190382,0.3288953294075963,-0.805554584038185,0.2903097530135051,0.6313504342225696,0.047401909026986,0.8772767433349526,0.4699381434559064,-0.497120681733596,1.145557251904311,0.328895329406995,-0.47401804529425,1.039784828980692,0.6276146235945758,-0.4899716062892689,0.1165443621255724,0.3640930290315031,-0.4529866022003611,0.5310199770226497,0.8057933591813171,-0.7278990534269392,-0.0758999073910841,0.1779115819251991,1.2106593819607727,-0.6834383010974192,-0.8430097963462577,1.8260293387207736,-1.0796221982344345,0.1321305766260055,0.577506045011622,1.2305425501600755,1.385495412398706,0.7437773386594498,-1.3375365064855411,-0.7228638286331773,0.2681377752739259,-0.2127614840548577,1.3282337585442283,0.7988676822668856,1.9572721410011027,1.324789343883152,-0.3738004086794267,-1.7103570939212351,-0.0493191112557508,HFT_small_BTC,2,-6.929196602967203e-05,23090.22528981332,-1.0206353143638047e-05,1,default
3,3,3,75003,23088.9,0.00073028,23088.5,0.00747,23087.4,0.00944146,23087.3,0.00717,23086.5,0.00105,23089.0,0.54269614,23089.1,0.43004696,23089.2,1.48501137,23090.0,0.00999999,23090.1,0.04329817,-0.1146170398277264,-0.0362682150842525,-1.1933561570188067,0.8229925671352626,1.1351393956031006,0.5787408387671874,-0.6193227632930173,-0.6454043739906711,0.2159161300620203,2.4145887894407942,-0.7575994891305208,-0.7066410066449413,0.4687555646905478,-1.0826824320480315,-1.2098197844888898,-0.8520292617968371,-0.8524793968987595,-0.8520493331420903,-0.851578025933661,-0.8520179495362558,-0.009216854801391,-0.2800557017080191,-0.0091532634296708,-0.2775753457794571,-0.0228543762226752,-0.1030992897248551,-0.146724758572024,-0.1126924907001257,-0.1650260102604531,-0.0162379740272818,-0.0319852834140999,-0.2570555953703168,1.2769355816195551,0.424973865241891,-0.2937555451451671,0.4502209806861194,0.7791795004285833,0.0600253504877145,0.7698424437245354,0.4842038588731072,-0.2570555953694397,1.2769355816201369,0.4249738652411539,-0.1100478644665751,1.2263563196396867,0.7526722825792919,-0.1173320032434,0.3163318164423657,0.5036719432074207,-0.0595862973788773,0.4603253783865386,0.9413735787904792,-0.3254715848758777,0.1394318589157962,0.3276907733376852,0.3542940488757843,-0.9035435517812612,-1.0441391774175093,1.5273290177956096,-1.0796221982344345,0.0853330639388263,0.2817209415191892,1.1370961193766802,1.3386874382544731,0.7437773386594498,-1.2833905964209364,-0.7228638286331773,0.2681377752739259,-0.2127614840548577,1.1523839029948098,1.4077219790499955,2.2394528491079035,1.4930689569941376,-0.7954356364612776,-1.9336518161266616,-0.3582182821852026,HFT_small_BTC,3,-8.66209596728229e-06,23089.99766686592,-9.85797862684823e-06,1,default
4,4,4,75004,23088.9,0.00075998,23088.5,0.00747,23087.4,0.00850145,23087.3,0.00717,23086.5,0.00105,23089.0,0.18475534,23089.2,0.0014,23090.0,0.04329831,23090.6,0.00802999,23090.7,0.04330641,-0.1146453989591163,-0.1047933148507241,-1.1858008287162156,0.8795401755983414,1.0078406893371084,0.6289253195844907,-0.6126000832733556,0.8459283230296711,-0.6838523015078555,0.0716898374337201,-0.6316741915816678,-0.0662081591997368,0.4687555646905478,-0.4030822687003327,-1.0322986257942477,-0.8521998281246655,-0.8526499625744838,-0.8522198985385033,-0.8517485916692531,-0.8521885152020165,-0.009216854801391,-0.2800557017080191,-0.0091532634296708,-0.2775753457794571,-0.0228543762226752,-0.1030992897248551,-0.146724758572024,-0.1126924907001257,-0.1650260102604531,-0.0162379740272818,-0.0319852834140999,-0.2420504227509771,1.285147331798001,0.0633536937763619,-0.2185687818752952,0.3875493802181464,0.7872074540929389,0.0614645897487185,0.6414349399262481,0.4881951748456551,-0.2420504227503879,1.2851473317985795,0.0633536937755308,-0.0872980532616999,1.2380178963626274,0.7604889617508098,-0.0940403132573059,0.328819451709852,0.5123962676512209,-0.0349969679944316,0.2657474953311956,0.9498479664233422,-0.3003180162180036,0.1528910852142951,0.3370526620483045,0.3007712155588246,-0.9173001299487824,-1.0567097637342624,1.2286286968704456,-1.0796221982344345,0.0385355512516469,-0.0140641619732436,1.0436496885932849,1.2918794641102405,0.7437773386594498,-1.2292446863563316,-0.7228638286331773,0.2681377752739259,-0.2127614840548577,1.1523839029948098,2.016576275833105,2.5216335572147046,1.4930689569941376,-1.217070864243128,-2.1569465383320883,-0.3582182821852026,HFT_small_BTC,4,0.0,23089.77959826047,-9.444288760707131e-06,1,default
5,5,5,75005,23087.3,0.00717,23086.5,0.00105,23086.2,0.00717,23085.5,0.0003,23085.1,0.00923146,23087.4,1.1603268,23087.5,3.26998914,23088.4,0.01177,23088.5,0.01,23088.6,2.54810551,-0.1146463326225581,0.101661142770122,-0.3105228468462055,-0.5008811797394346,0.7307302330691576,-0.7370807758353934,0.8775886723682244,-0.8153973244915932,1.8169420490688533,-0.7456691463665499,-0.7706642587961464,0.9145125186568986,0.2383328598862102,-0.9694157381588088,-1.2263418247257043,-0.852370394452494,-0.8528205282502082,-0.8549489448811481,-0.8544776434387625,-0.8530912684362922,-0.9629908567258536,0.5146013875135184,-0.9780699593259228,0.5264807522202376,-2.5246530550704307,-0.1030992897248551,-0.146724758572024,-0.1126924907001257,-0.1650260102604531,-0.9736955032800084,-2.4215461389580843,-0.016957300234375,1.416545009178776,0.5154172582462643,0.2470358592310186,0.5390891656471133,0.9323831671814892,0.0588102479690031,0.4946074076374294,0.5082735926162122,-0.0169573002334626,1.416545009179429,0.5154172582458604,0.2767257282861113,1.4246168628063662,0.8855650375749003,0.278654167228091,0.5286363280844544,0.6519957371662906,0.3584612716273773,0.4325867615406965,1.085448152496386,0.1021687165350843,0.3682545627397497,0.4119506912186003,-0.5555941175242167,-1.1374053806321238,-1.2578391448050568,0.9299283759452818,-1.0796221982344345,-0.008261961435532,-0.3098492654656764,0.950203257809889,1.2450714899660078,0.7437773386594498,-1.1750987762917264,-0.7228638286331773,0.2681377752739259,-0.2127614840548577,0.976534047445392,2.016576275833105,2.803814265321506,1.661348570105124,-1.217070864243128,-2.3802412605375154,-0.6671174531146553,HFT_small_BTC,5,-6.929736799943242e-05,23089.57242814931,-8.972372831816955e-06,1,default
6,6,6,75006,23087.3,0.00862087,23086.2,0.00717,23085.5,0.0003,23085.0,0.00717,23083.9,0.00717,23087.4,0.26048467,23087.5,0.82681667,23088.1,0.00862,23088.2,0.04330641,23088.3,0.59250498,-0.1144746964963259,-0.0602129175495096,-0.3255288079465526,0.5373683928677191,-0.7215432510594098,0.3722053396370595,0.2657645462579293,-0.867164609272245,1.872797411911914,-0.72800427033912,-0.6500410097407453,0.8123173678888284,1.6208690887038553,-1.3092158198305976,-1.1922334017258207,-0.8549288893699574,-0.8553790133861101,-0.8549489448811481,-0.8544776434387625,-0.8549175658543258,-0.009216854801391,-0.2800557017080191,-0.0091532634296708,-0.2775753457794571,-0.0228543762226752,-0.1030992897248551,-0.146724758572024,-0.1126924907001257,-0.1650260102604531,-0.0162379740272818,-0.0319852834140999,-0.12200852246713,1.416545009178776,0.5888768238933278,0.2701722404406637,0.4537090260579282,0.91482822090701,0.0269816738563348,0.3086178477734526,0.526968615880829,-0.1220085224661802,1.416545009179429,0.5888768238926109,0.2767257282861113,1.3896533310127628,0.8855650375749003,0.278654167228091,0.5286363280844544,0.6519957371662906,0.3584612716273773,0.4325867615406965,1.085448152496386,0.1021687165350843,0.3682545627397497,0.4119506912186003,-0.5555941175242167,-1.1353303660481675,-1.2578391448050568,0.631228055020118,-1.0796221982344345,-0.0550594741227112,-0.6056343689581092,0.8567568270264935,1.198263515821775,0.7437773386594498,-1.1209528662271215,-0.7228638286331773,0.2681377752739259,-0.2127614840548577,0.8006841918959733,1.4077219790499955,2.803814265321506,1.661348570105124,-0.7954356364612776,-2.3802412605375154,-0.8215670385793807,HFT_small_BTC,6,0.0,23089.377312414814,-8.450383180647059e-06,1,default
7,7,7,75007,23087.3,0.00967087,23086.2,0.00717,23085.5,0.0003,23085.0,0.00717,23083.9,0.00717,23087.4,0.26118467,23087.5,0.82681667,23087.6,0.01,23088.1,0.05191398,23088.2,0.63823116,-0.1144419855649297,-0.0584795979477653,-0.2441929357838491,0.4951982697647141,-0.7232619293580592,0.3332145968965664,0.2300977279142383,-0.881860027570129,1.7912871639289305,-0.724710031732867,-0.6294517155138984,0.8814042352747705,1.6208690887038553,-1.4224825137198205,-1.1921546386330044,-0.8549288893699574,-0.8553790133861101,-0.8549489448811481,-0.8544776434387625,-0.8549175658543258,-0.009216854801391,-0.2800557017080191,-0.0091532634296708,-0.2775753457794571,-0.0228543762226752,-0.1030992897248551,-0.146724758572024,-0.1126924907001257,-0.1650260102604531,-0.0162379740272818,-0.0319852834140999,-0.12200852246713,1.3919246859354877,0.5775753522552513,0.293308621653274,0.3698094669244768,0.8976076545609858,-0.0083322774308971,0.0732770824274039,0.5447533009495019,-0.1220085224661802,1.391924685935875,0.5775753522546334,0.2767257282861113,0.6554191633369347,0.8855650375749003,0.278654167228091,0.5286363280844544,0.6519957371662906,0.3584612716273773,0.4224779337014533,1.085448152496386,0.2631802855527375,0.3682545627397497,0.4119506912186003,-0.5555941175242167,-1.1331846123306415,-1.2578391448050568,0.3325277340949542,-1.0796221982344345,-0.1018569868098905,-0.901419472450542,0.763310396243098,1.1514555416775425,0.7437773386594498,-1.0668069561625164,-0.7228638286331773,0.2681377752739259,-0.2127614840548577,0.8006841918959733,1.4077219790499955,2.5216335572147046,1.4930689569941376,-0.7954356364612776,-2.1569465383320883,-0.6671174531146553,HFT_small_BTC,7,0.0,23089.195198303438,-7.887354817603942e-06,1,default
8,8,8,75008,23087.3,0.00967087,23086.3,0.00967145,23086.2,0.00717,23085.5,0.0003,23085.0,0.00717,23087.4,0.30614223,23087.5,0.82681667,23087.6,0.01,23088.1,0.5318593,23088.5,0.65329649,-0.1143640572227,-0.0418890064215545,-0.321133590701268,0.8002335588055709,0.3297645513544148,-0.7530057345970972,0.1540076128561152,-0.9310238637660306,1.210961294282917,-0.7316610078810771,0.3907129284926265,0.5246390224764439,0.3535442122862831,-1.0826824320480315,-1.199398671981029,-0.8549288893699574,-0.8553790133861101,-0.8549489448811481,-0.8544776434387625,-0.8549175658543258,-0.009216854801391,-0.2800557017080191,-0.0091532634296708,-0.2775753457794571,-0.0228543762226752,-0.1030992897248551,-0.146724758572024,-0.1126924907001257,-0.1650260102604531,-0.0162379740272818,-0.0319852834140999,-0.1370158399283476,0.8748978978192784,0.3797995985913723,0.3193370505152366,0.317002097351567,0.8862387369744927,-0.0544765420023106,-0.0187447311294524,0.5611211394850759,-0.1370158399277629,0.8748978978197474,0.3797995985907479,0.2767257282861113,0.608801120944866,0.8855650375749003,0.278654167228091,0.5286363280844544,0.6519957371662906,0.3584612716273773,0.4199507267424524,1.085448152496386,0.3084647893376426,0.3682545627397497,0.4119506912186003,-0.5555941175242167,-1.060024628438578,-1.2578391448050568,0.0338274131697902,-1.0796221982344345,-0.1486544994970699,-0.901419472450542,0.6698639654597025,1.1046475675333094,0.5650189675303128,-1.0126610460979115,-0.7228638286331773,0.2681377752739259,-0.2127614840548577,0.8006841918959733,0.7988676822668856,2.2394528491079035,1.324789343883152,-0.3738004086794267,-1.9336518161266616,-0.512667867649929,HFT_small_BTC,8,0.0,23089.02680881143,-7.2929996284276655e-06,1,default
9,9,9,75009,23087.3,0.00967087,23086.3,0.01226145,23086.2,0.00717,23085.5,0.0003,23085.0,0.00717,23087.4,0.33854466,23087.5,0.82681667,23087.6,0.01,23088.1,0.03220166,23088.4,0.04331203,-0.1142833702585893,-0.0749873314892471,-0.3897073614454157,1.072097893753248,0.2516632055220724,-0.7561076477241622,0.0861918903165569,-0.4613818056542849,2.8659889278005544,-0.7118375634907254,-0.6462771464196194,-0.6253764753607228,0.3535442122862831,-1.1959491259372543,-1.1645475393685667,-0.8549288893699574,-0.8553790133861101,-0.8549489448811481,-0.8544776434387625,-0.8549175658543258,-0.009216854801391,-0.2800557017080191,-0.0091532634296708,-0.2775753457794571,-0.0228543762226752,-0.1030992897248551,-0.146724758572024,-0.1126924907001257,-0.1650260102604531,-0.0162379740272818,-0.0319852834140999,-0.1370158399283476,0.8420708001611398,0.4476084284192528,0.3453654793786819,0.2661688350534749,0.8728635398121277,-0.1070582298291337,-0.1226736397671568,0.5776799668349385,-0.1370158399277629,0.8420708001617748,0.4476084284184069,0.2767257282861113,0.3057838453967186,0.8855650375749003,0.4883175141487639,0.5286363280844544,0.6519957371662906,0.3584612716273773,0.4199507267424524,1.085448152496386,0.3084647893376426,0.3682545627397497,0.4119506912186003,-0.5986734711695448,-1.0381128510847155,-1.2578391448050568,-0.2648729077553735,-1.0796221982344345,-0.1954520121842489,-0.901419472450542,0.5764175346763071,1.0578395933890767,0.3862605964011759,-0.9585151360333066,-0.7228638286331773,0.2681377752739259,-0.2127614840548577,0.6248343363465543,0.7988676822668856,1.9572721410011027,1.324789343883152,-0.3738004086794267,-1.7103570939212351,-0.6671174531146553,HFT_small_BTC,9,0.0,23088.872632260813,-6.677481554140385e-06,1,default
