,open,high,low,close,adjcp,pct_return,adjcp_filtered,pct_return_filtered
30858,179.55067443847656,180.07647705078125,178.08795166015625,179.22561645507812,130.44822692871094,0.0045004243455308,129.99688136844233,0.0006365778549458
30859,179.2064971923828,180.3919677734375,178.5946502685547,179.10133361816406,130.35777282714844,-0.000693409973383,130.37245425818753,0.0018469712343709
30860,179.73231506347656,180.1912078857422,179.13002014160156,179.68450927734375,130.7822265625,0.0032560677138475,130.6283786131155,0.0027793671213663
30861,179.32122802734375,179.89483642578125,178.70936584472656,179.61758422851562,130.7335205078125,-0.0003724210542035,130.83548890382775,0.0034121968770062
30862,179.5889129638672,180.5736083984375,178.57553100585938,179.1395721435547,130.38563537597656,-0.0026610247355431,131.10078176536646,0.0037580229490342
30863,179.82791137695312,181.46270751953125,179.50286865234375,181.03250122070312,131.76333618164062,0.0105663541976182,131.47154951641286,0.003848143535695
30864,181.6826019287109,181.88336181640625,181.03250122070312,181.71128845214844,132.25743103027344,0.0037498659562753,131.9085039514291,0.0037202417489264
30865,181.5105133056641,182.0172119140625,180.9273376464844,181.73995971679688,132.27830505371094,0.0001578287380519,132.33745481033208,0.0034109887082627
30866,182.50477600097656,183.62332153320312,182.12237548828125,182.8202667236328,133.06459045410156,0.0059441750487456,132.71637294052994,0.0029532240574222
30867,182.3804931640625,183.44168090820312,181.92160034179688,182.0363311767578,132.49398803710938,-0.0042881612233948,133.05134142143598,0.0023768508850721
30868,182.9732360839844,183.374755859375,182.32313537597656,182.7533416748047,133.01589965820312,0.0039391343624404,133.35771659519023,0.0017127237082799
30869,182.6195068359375,185.0191192626953,182.6195068359375,184.5028686523437,134.28924560546875,0.009572885275652,133.61944875422358,0.0009981760153477
30870,184.5411071777344,185.5927276611328,183.13575744628903,183.79541015625,133.7743377685547,-0.0038343192307954,133.79086621837658,0.0002815738659168
30871,183.0497131347656,183.8432159423828,182.2753295898437,183.5564117431641,133.60037231445312,-0.0013004396583337,133.8307344210769,-0.0003771029385432
30872,183.8240966796875,184.2734222412109,182.7342224121093,183.8432159423828,133.8091278076172,0.0015625367620437,133.72880920988231,-0.0009111747186403
30873,184.2064971923828,184.48374938964844,182.5334625244141,183.13575744628903,133.29421997070312,-0.0038480770732948,133.50800753934365,-0.0012568378852519
30874,183.92926025390625,184.46463012695312,183.4225616455078,183.50860595703125,133.5655975341797,0.0020359289662839,133.21614933144028,-0.0013650652917339
30875,183.26004028320312,184.216064453125,181.70172119140625,182.29444885253903,132.68185424804688,-0.0066165487404543,132.9197229167641,-0.0012131699727329
30876,182.1510467529297,183.31739807128903,181.7304077148437,182.7915802001953,133.0436553955078,0.002726832161876,132.6934264120833,-0.0008134636047984
30877,182.3613739013672,182.7915802001953,181.1759033203125,181.7781982421875,132.30615234375,-0.0055433162112494,132.596461639985,-0.0002166686686532
30878,181.9694061279297,182.3518218994141,181.4340362548828,181.63479614257807,132.20172119140625,-0.0007893144082402,132.64564385477362,0.0004915449785192
30879,181.7590789794922,183.69981384277344,181.73995971679688,183.1166381835937,133.28028869628906,0.008158498203826,132.81201071194835,0.0012010874162081
30880,182.67686462402344,184.30210876464844,181.7590789794922,183.2887115478516,133.405517578125,0.0009395904155138,133.05246198851054,0.0017933342001547
30881,183.0497131347656,183.1739959716797,182.1893005371093,182.8680725097656,133.09939575195312,-0.002294671402872,133.34758192699417,0.0021592688212837
30882,183.0019073486328,184.0248565673828,182.1988525390625,183.374755859375,133.46817016601562,0.0027706693330882,133.70178573562927,0.0022167953774265
30883,182.83938598632807,185.057357788086,182.4282989501953,184.47418212890625,134.26840209960938,0.0059956762170214,134.10091299928283,0.0019250557387066
30884,184.7227478027344,185.1242828369141,183.8432159423828,184.3212280273437,134.15707397460938,-0.000829146122685,134.47191666255327,0.001293964397162
30885,184.3116607666016,185.5927276611328,184.2351837158203,185.2294464111328,134.8180694580078,0.0049270266845826,134.6918501685214,0.0003868221190178
30886,185.9847106933593,186.42446899414065,184.694076538086,185.46844482421875,134.99200439453125,0.0012901455808014,134.64953721551467,-0.0006859343493425
30887,185.2007598876953,185.602294921875,184.15870666503903,184.6175842285156,134.3727569580078,-0.0045872897383878,134.31611247701167,-0.0017822233274781
30888,184.2734222412109,184.579345703125,183.09751892089844,183.193115234375,133.3359375,-0.0077159945325213,133.76860111403874,-0.0027509186729323
