日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,股票代號
 99/01/04,"13,571,560","619,672,074",46.80,46.80,45.20,45.35,-1.05,"3,827",3037
 99/01/05,"12,630,136","563,856,560",45.35,45.70,44.00,44.80,-0.55,"4,116",3037
 99/01/06,"9,712,841","432,343,861",44.10,45.00,44.10,44.60,-0.20,"3,409",3037
 99/01/07,"14,704,785","654,549,232",44.50,45.30,43.60,43.90,-0.70,"3,989",3037
 99/01/08,"16,684,846","723,269,616",44.00,44.35,42.70,43.85,-0.05,"5,168",3037
 99/01/11,"8,183,971","359,320,015",43.85,44.20,43.70,43.90,+0.05,"2,914",3037
 99/01/12,"5,537,526","241,536,027",43.90,44.10,43.30,43.70,-0.20,"2,467",3037
 99/01/13,"20,654,268","886,452,110",43.05,43.20,42.60,42.80,-0.90,"7,011",3037
 99/01/14,"14,816,924","639,254,632",43.00,43.50,42.80,43.20,+0.40,"4,498",3037
 99/01/15,"11,191,122","482,349,263",43.30,43.70,42.85,42.90,-0.30,"4,088",3037
 99/01/18,"6,504,855","279,793,476",42.70,43.40,42.60,42.90, 0.00,"2,351",3037
 99/01/19,"32,170,852","1,433,389,010",43.80,45.30,43.80,44.50,+1.60,"10,547",3037
 99/01/20,"19,032,354","840,573,572",45.00,45.30,43.50,43.50,-1.00,"6,536",3037
 99/01/21,"11,376,662","485,920,313",43.05,43.50,42.20,42.50,-1.00,"4,560",3037
 99/01/22,"14,093,814","579,816,943",41.60,41.95,40.50,40.55,-1.95,"4,918",3037
 99/01/25,"8,150,018","329,710,898",39.70,41.35,39.70,40.30,-0.25,"3,480",3037
 99/01/26,"13,834,915","550,141,274",40.60,40.95,39.00,39.35,-0.95,"4,502",3037
 99/01/27,"7,600,959","298,926,001",39.60,40.00,38.60,39.00,-0.35,"2,577",3037
 99/01/28,"8,791,578","348,412,686",39.30,40.30,39.15,39.60,+0.60,"3,348",3037
 99/01/29,"5,317,265","207,406,026",39.00,39.40,38.55,39.05,-0.55,"2,343",3037
 99/02/01,"26,489,909","979,138,033",38.80,39.20,36.40,36.40,-2.65,"8,014",3037
 99/02/02,"16,383,620","597,248,822",37.00,37.20,35.50,35.90,-0.50,"5,042",3037
 99/02/03,"11,448,607","413,886,155",36.50,36.60,35.85,36.10,+0.20,"3,928",3037
 99/02/04,"13,696,392","499,110,057",36.50,37.10,35.80,36.60,+0.50,"4,527",3037
 99/02/05,"17,246,459","590,994,174",35.40,35.40,34.05,34.05,-2.55,"4,618",3037
 99/02/06,"16,018,159","527,351,237",34.05,34.20,31.80,33.00,-1.05,"4,295",3037
 99/02/08,"15,453,772","527,439,469",33.00,34.80,32.95,34.20,+1.20,"5,340",3037
 99/02/09,"24,841,847","888,354,862",34.90,36.55,34.40,36.30,+2.10,"7,123",3037
 99/02/10,"17,782,329","650,697,702",36.55,37.35,36.20,36.30, 0.00,"6,381",3037
 99/02/22,"8,114,750","301,194,705",37.55,37.60,36.90,36.90,+0.60,"3,057",3037
 99/02/23,"15,245,349","564,874,365",36.55,37.40,36.55,37.20,+0.30,"3,909",3037
 99/02/24,"19,613,314","720,131,921",37.00,37.10,36.40,36.70,-0.50,"4,051",3037
 99/02/25,"9,741,716","353,673,826",37.20,37.20,35.50,35.70,-1.00,"3,458",3037
