日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,股票代號
108/03/27,"7,122,919","2,673,135,220",370.00,387.00,362.00,378.00,X0.00,"5,431",6669
108/03/28,"4,537,483","1,740,782,870",375.00,391.50,374.00,390.50,+12.50,"3,847",6669
108/03/29,"3,122,075","1,230,862,400",393.00,398.00,390.00,392.50,+2.00,"2,719",6669
108/04/01,"2,862,326","1,104,980,380",396.50,397.50,380.50,381.00,-11.50,"2,394",6669
108/04/02,"3,130,654","1,182,467,020",381.00,383.50,371.50,381.50,+0.50,"2,621",6669
108/04/03,"1,540,882","586,190,440",379.00,384.00,376.50,378.00,-3.50,"1,376",6669
108/04/08,"4,088,688","1,490,760,861",380.50,381.00,341.00,354.50,-23.50,"3,498",6669
108/04/09,"2,586,989","898,640,650",349.00,353.00,337.00,350.00,-4.50,"2,217",6669
108/04/10,"1,876,623","669,420,411",348.00,362.50,345.00,357.50,+7.50,"1,721",6669
108/04/11,"1,124,908","397,192,116",352.00,358.50,349.50,352.50,-5.00,"1,094",6669
108/04/12,"673,448","237,646,092",354.50,356.50,349.50,355.50,+3.00,632,6669
108/04/15,"565,748","201,172,540",359.50,360.00,352.50,355.00,-0.50,548,6669
108/04/16,"1,062,671","385,175,744",357.00,366.50,356.00,364.00,+9.00,"1,013",6669
108/04/17,"858,162","313,367,806",365.00,368.50,361.50,363.00,-1.00,766,6669
108/04/18,"1,111,233","394,621,084",365.00,366.00,346.00,348.00,-15.00,"1,047",6669
108/04/19,"1,669,688","570,957,984",348.00,351.50,336.00,342.00,-6.00,"1,480",6669
108/04/22,"2,007,153","666,430,184",341.00,341.00,325.00,328.00,-14.00,"1,889",6669
108/04/23,"2,258,599","719,105,565",326.50,326.50,313.00,316.00,-12.00,"2,015",6669
108/04/24,"2,454,720","794,786,100",316.00,333.50,308.50,330.00,+14.00,"2,266",6669
108/04/25,"913,084","295,006,334",327.00,327.00,320.00,325.00,-5.00,886,6669
108/04/26,"788,252","250,795,384",324.50,324.50,315.50,316.00,-9.00,774,6669
108/04/29,"907,155","291,178,445",320.50,327.50,318.00,318.50,+2.50,835,6669
108/04/30,"393,703","126,342,366",318.50,323.00,316.00,321.50,+3.00,379,6669
108/05/02,"831,581","272,126,311",324.00,331.50,321.50,331.00,+9.50,788,6669
108/05/03,"3,140,973","1,099,109,857",347.50,358.00,339.00,358.00,+27.00,"2,661",6669
108/05/06,"2,178,224","771,162,192",352.00,361.00,342.00,358.50,+0.50,"1,846",6669
108/05/07,"2,029,032","740,376,744",358.50,370.00,358.50,368.50,+10.00,"1,645",6669
108/05/08,"1,585,134","585,971,580",363.00,374.00,360.00,371.50,+3.00,"1,329",6669
108/05/09,"1,955,553","711,833,762",374.00,374.50,351.00,354.00,-17.50,"1,701",6669
108/05/10,"1,222,842","439,100,009",356.00,367.00,353.00,357.50,+3.50,"1,093",6669
108/05/13,"1,030,663","357,794,735",352.00,357.50,341.50,345.00,-12.50,962,6669
108/05/14,"1,060,727","359,221,719",335.00,348.00,327.50,342.50,-2.50,948,6669
108/05/15,"1,069,474","370,090,582",342.50,352.00,341.50,342.00,-0.50,972,6669
108/05/16,"473,473","162,124,874",344.00,346.50,337.00,337.00,-5.00,481,6669
108/05/17,"881,222","292,301,200",340.50,343.00,323.00,323.50,-13.50,798,6669
108/05/20,"828,911","271,021,130",326.00,333.00,321.00,327.00,+3.50,750,6669
108/05/21,"1,232,388","423,801,696",327.00,358.00,325.00,358.00,+31.00,"1,181",6669
