日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,股票代號
 99/01/04,"28,355,803","569,328,560",20.00,20.25,19.90,20.00,+0.05,"4,547",2891
 99/01/05,"23,866,490","479,646,200",20.20,20.30,19.95,20.00, 0.00,"5,136",2891
 99/01/06,"54,862,988","1,120,129,809",20.10,20.60,20.00,20.60,+0.60,"10,436",2891
 99/01/07,"53,592,486","1,104,647,821",20.70,20.90,20.35,20.40,-0.20,"7,952",2891
 99/01/08,"28,060,315","576,812,166",20.50,20.70,20.35,20.50,+0.10,"5,769",2891
 99/01/11,"23,885,946","489,213,228",20.50,20.60,20.40,20.40,-0.10,"4,085",2891
 99/01/12,"29,808,986","606,347,619",20.50,20.55,20.20,20.25,-0.15,"5,689",2891
 99/01/13,"23,285,274","465,946,330",20.10,20.20,19.90,19.95,-0.30,"3,973",2891
 99/01/14,"30,010,213","595,993,521",19.80,20.05,19.75,19.80,-0.15,"5,929",2891
 99/01/15,"29,700,304","590,349,597",19.90,20.05,19.75,19.80, 0.00,"5,395",2891
 99/01/18,"21,589,489","425,878,707",19.65,19.85,19.65,19.70,-0.10,"3,042",2891
 99/01/19,"23,798,008","467,056,621",19.80,19.95,19.50,19.50,-0.20,"4,721",2891
 99/01/20,"51,082,160","983,458,190",19.55,19.65,19.00,19.00,-0.50,"9,090",2891
 99/01/21,"26,771,952","510,985,730",19.00,19.25,18.95,19.05,+0.05,"5,084",2891
 99/01/22,"40,664,012","760,115,422",18.80,18.85,18.60,18.65,-0.40,"6,592",2891
 99/01/25,"29,966,649","553,121,021",18.45,18.65,18.30,18.45,-0.20,"5,569",2891
 99/01/26,"50,132,609","904,755,988",18.45,18.55,17.50,17.65,-0.80,"8,056",2891
 99/01/27,"35,112,755","619,536,922",17.80,17.85,17.50,17.55,-0.10,"6,786",2891
 99/01/28,"19,011,730","340,145,840",17.80,18.10,17.60,17.90,+0.35,"3,598",2891
 99/01/29,"48,640,374","846,116,808",17.85,17.85,17.10,17.50,-0.40,"6,766",2891
 99/02/01,"35,164,305","606,866,041",17.85,17.85,17.05,17.10,-0.40,"5,987",2891
 99/02/02,"52,023,189","878,703,563",17.25,17.35,16.55,16.80,-0.30,"8,182",2891
 99/02/03,"33,945,405","573,500,103",17.20,17.20,16.65,16.90,+0.10,"5,844",2891
 99/02/04,"24,422,461","413,670,161",16.95,17.10,16.85,16.85,-0.05,"3,376",2891
 99/02/05,"72,219,194","1,156,760,033",16.40,16.40,15.70,16.00,-0.85,"9,238",2891
 99/02/06,"23,611,060","369,037,915",15.80,16.00,15.40,15.75,-0.25,"4,318",2891
 99/02/08,"26,433,453","426,881,229",15.90,16.35,15.80,16.20,+0.45,"5,051",2891
 99/02/09,"82,249,444","1,330,178,576",16.05,16.45,15.85,16.25,+0.05,"9,491",2891
 99/02/10,"51,367,410","860,952,889",16.55,17.00,16.50,16.80,+0.55,"7,438",2891
 99/02/22,"51,112,832","902,932,183",17.40,17.95,17.20,17.95,+1.15,"7,122",2891
 99/02/23,"47,845,808","859,076,393",18.10,18.15,17.80,17.90,-0.05,"7,748",2891
 99/02/24,"41,623,473","749,960,164",17.75,18.30,17.60,18.00,+0.10,"7,056",2891
 99/02/25,"54,146,774","965,383,970",18.20,18.25,17.50,17.50,-0.50,"7,527",2891
 99/02/26,"32,260,920","566,787,528",17.65,17.90,17.35,17.40,-0.10,"5,170",2891
 99/03/01,"70,682,933","1,264,491,294",17.70,18.30,17.50,18.00,+0.60,"8,158",2891
 99/03/02,"30,415,274","550,591,532",18.15,18.20,18.00,18.00, 0.00,"4,647",2891
 99/03/03,"36,447,586","673,447,396",18.30,18.65,18.30,18.40,+0.40,"7,006",2891
 99/03/04,"41,782,696","761,361,278",18.70,18.70,18.00,18.00,-0.40,"6,437",2891
 99/03/05,"45,530,711","843,371,005",18.40,18.70,18.30,18.45,+0.45,"5,597",2891
 99/03/08,"30,897,640","576,824,368",18.60,18.80,18.55,18.65,+0.20,"6,918",2891
 99/03/09,"15,752,850","292,493,583",18.65,18.75,18.45,18.45,-0.20,"3,086",2891
 99/03/10,"17,309,371","322,884,883",18.60,18.75,18.50,18.75,+0.30,"3,610",2891
 99/03/11,"30,153,019","554,938,911",18.45,18.75,18.30,18.35,-0.40,"5,525",2891
 99/03/12,"20,098,225","365,425,596",18.25,18.35,18.10,18.20,-0.15,"4,639",2891
 99/03/15,"23,835,346","428,492,533",18.00,18.25,17.80,17.80,-0.40,"4,615",2891
 99/03/16,"22,988,860","411,691,694",17.80,18.00,17.80,17.90,+0.10,"4,188",2891
 99/03/17,"39,149,368","715,465,560",18.10,18.35,18.10,18.35,+0.45,"5,772",2891
 99/03/18,"37,580,107","693,671,999",18.40,18.65,18.30,18.35, 0.00,"6,375",2891
 99/03/19,"31,527,335","574,664,011",18.45,18.45,18.15,18.25,-0.10,"4,562",2891
 99/03/22,"27,330,892","493,273,456",18.20,18.25,17.90,18.10,-0.15,"5,754",2891
 99/03/23,"41,085,136","738,072,925",18.00,18.10,17.85,17.85,-0.25,"5,692",2891
 99/03/24,"60,895,591","1,088,283,543",17.90,18.05,17.55,17.55,-0.30,"7,222",2891
