日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,股票代號
 99/01/04,"14,352,601","224,300,884",15.60,15.90,15.30,15.60,+0.05,"2,647",2345
 99/01/05,"13,230,116","207,780,930",15.90,16.10,15.35,15.50,-0.10,"2,357",2345
 99/01/06,"10,000,437","154,081,295",15.50,15.70,15.20,15.40,-0.10,"1,792",2345
 99/01/07,"12,326,175","192,573,967",15.90,15.90,15.30,15.35,-0.05,"2,658",2345
 99/01/08,"11,191,094","169,667,167",15.45,15.50,14.90,15.20,-0.15,"2,184",2345
 99/01/11,"6,438,854","97,399,546",15.15,15.30,15.00,15.10,-0.10,"1,247",2345
 99/01/12,"8,578,532","130,051,980",15.10,15.30,14.95,15.25,+0.15,"1,610",2345
 99/01/13,"6,513,443","99,061,529",15.20,15.35,15.05,15.15,-0.10,"1,138",2345
 99/01/14,"9,119,356","139,994,444",15.25,15.50,15.15,15.15, 0.00,"1,691",2345
 99/01/15,"7,247,818","109,945,120",15.25,15.35,15.05,15.05,-0.10,"1,347",2345
 99/01/18,"11,109,728","170,918,742",15.05,15.65,15.05,15.35,+0.30,"2,123",2345
 99/01/19,"9,961,221","155,212,022",15.60,15.80,15.35,15.35, 0.00,"2,177",2345
 99/01/20,"5,776,832","88,592,705",15.40,15.60,15.10,15.20,-0.15,"1,192",2345
 99/01/21,"5,952,975","88,688,773",15.20,15.20,14.65,14.70,-0.50,"1,379",2345
 99/01/22,"5,503,268","78,552,691",14.40,14.50,14.10,14.20,-0.50,"1,351",2345
 99/01/25,"3,072,089","43,295,051",13.85,14.30,13.85,14.10,-0.10,862,2345
 99/01/26,"6,949,966","94,257,149",14.15,14.35,13.15,13.15,-0.95,"1,707",2345
 99/01/27,"3,591,283","47,055,429",13.15,13.30,12.90,13.00,-0.15,875,2345
 99/01/28,"3,463,214","46,516,836",13.10,13.65,13.10,13.55,+0.55,871,2345
 99/01/29,"9,267,593","129,187,417",13.50,14.20,13.15,14.20,+0.65,"1,667",2345
 99/02/01,"9,475,484","136,059,466",14.20,14.60,14.10,14.60,+0.40,"1,817",2345
 99/02/02,"6,931,728","99,367,269",14.75,14.75,13.60,13.70,-0.90,"1,772",2345
 99/02/03,"3,515,705","49,109,697",14.25,14.25,13.70,14.00,+0.30,"1,004",2345
 99/02/04,"3,671,621","51,751,648",14.10,14.35,13.90,13.90,-0.10,988,2345
 99/02/05,"5,949,527","77,970,975",13.00,13.45,12.95,12.95,-0.95,"1,424",2345
 99/02/06,"3,576,331","44,771,668",13.10,13.10,12.10,12.35,-0.60,921,2345
 99/02/08,"2,370,669","29,744,878",12.40,12.75,12.30,12.50,+0.15,762,2345
 99/02/09,"2,461,621","31,420,873",12.50,13.00,12.35,12.90,+0.40,606,2345
 99/02/10,"3,292,299","43,151,937",13.05,13.30,13.00,13.10,+0.20,762,2345
 99/02/22,"2,128,929","28,088,314",13.40,13.40,13.10,13.15,+0.05,529,2345
 99/02/23,"1,441,855","19,021,697",13.15,13.30,13.05,13.15, 0.00,459,2345
 99/02/24,"4,168,720","55,660,408",13.00,13.50,12.95,13.45,+0.30,"1,002",2345
 99/02/25,"7,388,630","100,387,854",13.55,13.75,13.40,13.40,-0.05,"1,668",2345
 99/02/26,"6,867,105","93,903,509",13.40,14.00,13.10,14.00,+0.60,"1,308",2345
 99/03/01,"12,612,176","177,644,270",14.10,14.25,13.80,14.10,+0.10,"2,573",2345
 99/03/02,"3,094,558","43,426,730",14.20,14.20,13.90,13.90,-0.20,916,2345
 99/03/03,"5,016,300","70,916,528",13.90,14.30,13.90,14.00,+0.10,"1,229",2345
 99/03/04,"8,796,326","125,381,289",14.25,14.50,13.90,14.50,+0.50,"1,595",2345
 99/03/05,"12,033,927","175,387,253",14.70,14.75,14.35,14.35,-0.15,"2,472",2345
 99/03/08,"5,370,160","77,319,077",14.35,14.50,14.30,14.30,-0.05,"1,143",2345
 99/03/09,"4,595,727","65,096,550",14.30,14.30,14.00,14.00,-0.30,986,2345
