日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,股票代號
 99/01/04,"4,174,116","164,582,641",40.10,40.25,39.10,39.30,-0.70,"1,569",3017
 99/01/05,"5,912,337","227,295,706",39.50,39.65,37.95,38.00,-1.30,"2,313",3017
 99/01/06,"6,281,949","239,675,737",38.05,38.60,37.80,38.20,+0.20,"2,232",3017
 99/01/07,"8,790,733","339,471,272",38.50,39.10,38.00,38.25,+0.05,"2,834",3017
 99/01/08,"5,206,354","196,278,602",38.30,38.40,37.35,38.00,-0.25,"1,578",3017
 99/01/11,"13,252,046","522,837,245",39.00,40.10,38.60,39.45,+1.45,"4,623",3017
 99/01/12,"7,046,555","279,924,728",39.75,40.20,39.30,39.45, 0.00,"2,334",3017
 99/01/13,"2,913,993","114,667,922",39.45,39.65,39.05,39.25,-0.20,"1,020",3017
 99/01/14,"5,910,894","235,578,588",39.60,40.20,39.50,39.60,+0.35,"1,997",3017
 99/01/15,"4,026,375","159,577,232",39.80,40.30,39.00,39.40,-0.20,"1,593",3017
 99/01/18,"2,563,263","100,660,021",39.40,39.75,38.90,39.05,-0.35,"1,169",3017
 99/01/19,"5,419,674","207,985,934",39.60,39.60,38.00,38.20,-0.85,"2,110",3017
 99/01/20,"1,685,785","64,470,929",38.50,38.50,38.05,38.10,-0.10,773,3017
 99/01/21,"2,471,168","93,549,296",38.00,38.40,37.50,37.60,-0.50,"1,078",3017
 99/01/22,"2,965,407","108,383,212",37.00,37.00,36.15,36.40,-1.20,"1,108",3017
 99/01/25,"1,320,589","48,171,883",36.00,36.85,36.00,36.50,+0.10,653,3017
 99/01/26,"2,980,784","104,298,056",36.80,36.90,33.95,34.00,-2.50,"1,280",3017
 99/01/27,"3,529,369","118,363,378",34.00,34.40,32.90,33.30,-0.70,"1,254",3017
 99/01/28,"1,957,233","66,982,106",33.70,34.85,33.50,34.80,+1.50,876,3017
 99/01/29,"1,968,029","68,139,871",34.20,35.45,33.65,35.30,+0.50,884,3017
 99/02/01,"1,569,750","54,568,323",35.30,35.50,34.00,34.20,-1.10,620,3017
 99/02/02,"1,611,355","54,538,252",34.60,34.75,33.10,33.10,-1.10,734,3017
 99/02/03,"2,646,531","88,388,164",33.50,33.75,33.00,33.75,+0.65,"1,011",3017
 99/02/04,"2,372,064","80,668,781",33.75,34.45,33.55,34.15,+0.40,834,3017
 99/02/05,"2,333,900","75,254,513",32.65,33.30,31.80,31.80,-2.35,789,3017
 99/02/06,"3,036,691","92,331,911",32.05,32.10,29.60,30.80,-1.00,942,3017
 99/02/08,"3,014,318","94,000,863",30.40,31.80,30.05,31.80,+1.00,"1,071",3017
 99/02/09,"2,989,490","98,082,589",31.80,33.50,31.55,33.30,+1.50,"1,134",3017
 99/02/10,"4,395,905","149,660,736",33.80,34.35,33.35,34.30,+1.00,"1,277",3017
 99/02/22,"2,372,477","82,880,435",35.80,35.80,34.30,34.35,+0.05,781,3017
 99/02/23,"1,344,062","45,659,815",34.30,34.30,33.65,34.30,-0.05,520,3017
 99/02/24,"2,807,819","97,195,099",33.70,35.10,33.70,34.40,+0.10,948,3017
 99/02/25,"1,814,745","62,477,803",34.50,34.90,33.90,34.10,-0.30,756,3017
 99/02/26,"1,357,687","45,713,042",34.10,34.15,33.20,33.40,-0.70,524,3017
