Unnamed: 0,date,tic,open,high,low,close,adjcp,Volume,pct_return,adjcp_filtered,pct_return_filtered,label,stock_type
0,2000-01-03,DJI,11501.849609375,11522.009765625,11305.6904296875,11357.509765625,11357.509765625,169750000,0.0,11357.564298387344,-4.6094738160700834e-05,0,0
1,2000-01-04,DJI,11349.75,11350.0595703125,10986.4501953125,10997.9296875,10997.9296875,178420000,-0.0316601161297978,11242.991708758693,0.0024421194629787655,0,0
2,2000-01-05,DJI,10989.3701171875,11215.099609375,10938.669921875,11122.650390625,11122.650390625,203190000,0.011340380114154947,11198.391178166816,0.004606978684084976,0,0
3,2000-01-06,DJI,11113.3701171875,11313.4501953125,11098.4501953125,11253.259765625,11253.259765625,176550000,0.01174264859660501,11248.024222054544,0.00615036823729532,0,0
4,2000-01-07,DJI,11247.0595703125,11528.1396484375,11239.919921875,11522.5595703125,11522.5595703125,184900000,0.023930826293561802,11361.702548771502,0.006852919269141629,0,0
5,2000-01-10,DJI,11532.48046875,11638.2802734375,11532.48046875,11572.2001953125,11572.2001953125,168180000,0.004308124830866289,11485.323819186759,0.006607336437450681,0,0
6,2000-01-11,DJI,11568.4697265625,11663.099609375,11502.7001953125,11511.080078125,11511.080078125,177300000,-0.005281633237926298,11578.730421878743,0.005435412217023316,0,0
7,2000-01-12,DJI,11506.73046875,11612.5302734375,11505.1796875,11551.099609375,11551.099609375,194060000,0.003476609577762524,11630.047602756082,0.003484085118551433,0,0
8,2000-01-13,DJI,11558.240234375,11656.580078125,11524.1103515625,11582.4296875,11582.4296875,174910000,0.0027123026538158346,11643.860711196417,0.0010032437291751244,0,0
9,2000-01-14,DJI,11619.349609375,11750.2802734375,11612.5302734375,11722.98046875,11722.98046875,266830000,0.012134827064971043,11623.71527443031,-0.0016890835272634994,0,0
10,2000-01-18,DJI,11719.1904296875,11720.1201171875,11546.4501953125,11560.7197265625,11560.7197265625,200220000,-0.013841253307555923,11567.242880681832,-0.0042499924014818705,0,0
11,2000-01-19,DJI,11535.240234375,11574.6796875,11456.009765625,11489.3603515625,11489.3603515625,193090000,-0.0061725720100316295,11474.027162879858,-0.006360118923776176,0,0
12,2000-01-20,DJI,11490.2900390625,11558.7001953125,11274.98046875,11351.2998046875,11351.2998046875,191230000,-0.01201638234422897,11353.99121642191,-0.007771544174655266,0,0
