Date,Open,High,Low,Close,Adj Close,Volume
1990-01-01,353.3999938964844,360.5899963378906,351.3500061035156,352.20001220703125,352.20001220703125,689930000
1990-01-08,352.20001220703125,354.239990234375,339.489990234375,339.92999267578125,339.92999267578125,809580000
1990-01-15,339.92999267578125,342.010009765625,333.3699951171875,339.1499938964844,339.1499938964844,861310000
1990-01-22,339.1400146484375,339.9599914550781,321.44000244140625,325.79998779296875,325.79998779296875,905970000
1990-01-29,325.79998779296875,332.1000061035156,319.8299865722656,330.9200134277344,330.9200134277344,845440000
1990-02-05,330.9200134277344,336.0899963378906,326.54998779296875,333.6199951171875,333.6199951171875,774880000
1990-02-12,333.6199951171875,335.6400146484375,327.9200134277344,332.7200012207031,332.7200012207031,742870000
1990-02-19,332.7200012207031,332.7200012207031,322.1000061035156,324.1499938964844,324.1499938964844,639350000
1990-02-26,324.1600036621094,335.5400085449219,323.9800109863281,335.5400085449219,335.5400085449219,808150000
1990-03-05,335.5400085449219,340.6600036621094,333.489990234375,337.92999267578125,337.92999267578125,768640000
1990-03-12,337.92999267578125,341.9100036621094,334.92999267578125,341.9100036621094,341.9100036621094,772220000
1990-03-19,341.9100036621094,344.489990234375,333.6199951171875,337.2200012207031,337.2200012207031,758610000
1990-03-26,337.2200012207031,342.5799865722656,337.0299987792969,339.94000244140625,339.94000244140625,661550000
1990-04-02,339.94000244140625,344.1199951171875,336.3299865722656,340.0799865722656,340.0799865722656,719860000
1990-04-09,340.0799865722656,344.7900085449219,339.8800048828125,344.3399963378906,344.3399963378906,534540000
1990-04-16,344.3399963378906,347.29998779296875,333.4100036621094,335.1199951171875,335.1199951171875,745120000
1990-04-23,335.1199951171875,335.1199951171875,328.7099914550781,329.1099853515625,329.1099853515625,678950000
1990-04-30,329.1099853515625,338.4599914550781,327.760009765625,338.3900146484375,338.3900146484375,699490000
1990-05-07,338.3900146484375,352.30999755859375,338.1099853515625,352.0,352.0,821710000
1990-05-14,352.0,358.4100036621094,351.95001220703125,354.6400146484375,354.6400146484375,878240000
1990-05-21,354.6400146484375,360.5,353.7799987792969,354.5799865722656,354.5799865722656,817350000
1990-05-28,354.5799865722656,363.5199890136719,354.54998779296875,363.1600036621094,363.1600036621094,690500000
1990-06-04,363.1600036621094,368.7799987792969,357.67999267578125,358.7099914550781,358.7099914550781,842230000
1990-06-11,358.7099914550781,367.2699890136719,357.70001220703125,362.9100036621094,362.9100036621094,776460000
1990-06-18,362.9100036621094,363.20001220703125,355.30999755859375,355.42999267578125,355.42999267578125,716960000
1990-06-25,355.4200134277344,359.0899963378906,351.2300109863281,358.0199890136719,358.0199890136719,702770000
1990-07-02,358.0199890136719,360.7300109863281,354.6400146484375,358.4200134277344,358.4200134277344,500300000
1990-07-09,358.4200134277344,369.67999267578125,356.4100036621094,367.30999755859375,367.30999755859375,858020000
1990-07-16,367.30999755859375,369.7799987792969,361.2900085449219,361.6099853515625,361.6099853515625,834780000
1990-07-23,361.6099853515625,361.6099853515625,350.0899963378906,353.44000244140625,353.44000244140625,858590000
1990-07-30,353.44000244140625,357.5400085449219,338.20001220703125,344.8599853515625,344.8599853515625,1049080000
1990-08-06,344.8599853515625,344.8599853515625,332.2200012207031,335.5199890136719,335.5199890136719,963530000
1990-08-13,335.3900146484375,341.9200134277344,324.6300048828125,327.8299865722656,327.8299865722656,741260000
1990-08-20,327.8299865722656,329.8999938964844,306.17999267578125,311.510009765625,311.510009765625,949290000
1990-08-27,311.54998779296875,325.8299865722656,311.54998779296875,322.55999755859375,322.55999755859375,639420000
1990-09-03,322.55999755859375,324.5199890136719,319.1099853515625,323.3999938964844,323.3999938964844,462970000
1990-09-10,323.4200134277344,326.5299987792969,314.760009765625,316.8299865722656,316.8299865722656,619620000
1990-09-17,316.8299865722656,319.3500061035156,307.9800109863281,311.32000732421875,311.32000732421875,745410000
1990-09-24,311.29998779296875,311.29998779296875,295.9800109863281,306.04998779296875,306.04998779296875,859280000
1990-10-01,306.1000061035156,319.69000244140625,305.760009765625,311.5,311.5,824850000
