,Unnamed: 0.1,Unnamed: 0,system_time,midpoint,spread,buys,sells,bids_distance_0,bids_distance_1,bids_distance_2,bids_distance_3,bids_distance_4,bids_distance_5,bids_distance_6,bids_distance_7,bids_distance_8,bids_distance_9,bids_distance_10,bids_distance_11,bids_distance_12,bids_distance_13,bids_distance_14,bids_notional_0,bids_notional_1,bids_notional_2,bids_notional_3,bids_notional_4,bids_notional_5,bids_notional_6,bids_notional_7,bids_notional_8,bids_notional_9,bids_notional_10,bids_notional_11,bids_notional_12,bids_notional_13,bids_notional_14,bids_cancel_notional_0,bids_cancel_notional_1,bids_cancel_notional_2,bids_cancel_notional_3,bids_cancel_notional_4,bids_cancel_notional_5,bids_cancel_notional_6,bids_cancel_notional_7,bids_cancel_notional_8,bids_cancel_notional_9,bids_cancel_notional_10,bids_cancel_notional_11,bids_cancel_notional_12,bids_cancel_notional_13,bids_cancel_notional_14,bids_limit_notional_0,bids_limit_notional_1,bids_limit_notional_2,bids_limit_notional_3,bids_limit_notional_4,bids_limit_notional_5,bids_limit_notional_6,bids_limit_notional_7,bids_limit_notional_8,bids_limit_notional_9,bids_limit_notional_10,bids_limit_notional_11,bids_limit_notional_12,bids_limit_notional_13,bids_limit_notional_14,bids_market_notional_0,bids_market_notional_1,bids_market_notional_2,bids_market_notional_3,bids_market_notional_4,bids_market_notional_5,bids_market_notional_6,bids_market_notional_7,bids_market_notional_8,bids_market_notional_9,bids_market_notional_10,bids_market_notional_11,bids_market_notional_12,bids_market_notional_13,bids_market_notional_14,asks_distance_0,asks_distance_1,asks_distance_2,asks_distance_3,asks_distance_4,asks_distance_5,asks_distance_6,asks_distance_7,asks_distance_8,asks_distance_9,asks_distance_10,asks_distance_11,asks_distance_12,asks_distance_13,asks_distance_14,asks_notional_0,asks_notional_1,asks_notional_2,asks_notional_3,asks_notional_4,asks_notional_5,asks_notional_6,asks_notional_7,asks_notional_8,asks_notional_9,asks_notional_10,asks_notional_11,asks_notional_12,asks_notional_13,asks_notional_14,asks_cancel_notional_0,asks_cancel_notional_1,asks_cancel_notional_2,asks_cancel_notional_3,asks_cancel_notional_4,asks_cancel_notional_5,asks_cancel_notional_6,asks_cancel_notional_7,asks_cancel_notional_8,asks_cancel_notional_9,asks_cancel_notional_10,asks_cancel_notional_11,asks_cancel_notional_12,asks_cancel_notional_13,asks_cancel_notional_14,asks_limit_notional_0,asks_limit_notional_1,asks_limit_notional_2,asks_limit_notional_3,asks_limit_notional_4,asks_limit_notional_5,asks_limit_notional_6,asks_limit_notional_7,asks_limit_notional_8,asks_limit_notional_9,asks_limit_notional_10,asks_limit_notional_11,asks_limit_notional_12,asks_limit_notional_13,asks_limit_notional_14,asks_market_notional_0,asks_market_notional_1,asks_market_notional_2,asks_market_notional_3,asks_market_notional_4,asks_market_notional_5,asks_market_notional_6,asks_market_notional_7,asks_market_notional_8,asks_market_notional_9,asks_market_notional_10,asks_market_notional_11,asks_market_notional_12,asks_market_notional_13,asks_market_notional_14,tic,adjcp,date,pct_return,adjcp_filtered,pct_return_filtered,label,stock_type
0,830,830,2021-04-17 14:31:00.119741+00:00,60998.035,9.37,821645.1220272377,110648.538361332,-7.680575072299689e-05,-8.123212319333105e-05,-8.139606507029383e-05,-0.0001120527886087,-0.0001122167304856,-0.0001222170540131,-0.0001641856215428,-0.0001645134907448,-0.0001807435328373,-0.0002453357737977,-0.0002627133799251,-0.0003410765493754,-0.0003768154128919,-0.0004474734305404,-0.0004476373724173,602.6099853515625,2591.81005859375,67092.3828125,21952.259765625,85997.578125,4390.27001953125,85993.109375,1219.760009765625,5000.0,15884.0400390625,823.2100219726562,6097.72021484375,20014.48046875,26001.359375,4567.4501953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1553.43994140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.6099853515625,2591.81005859375,67092.3828125,21952.259765625,85997.578125,4390.27001953125,85993.109375,2773.199951171875,5000.0,15884.0400390625,823.2100219726562,6097.72021484375,20014.48046875,26001.359375,4567.4501953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.680575072299689e-05,8.467485895380378e-05,9.418336412636565e-05,0.0001546771090943,0.0001815632276702,0.0001817271695472,0.0001891044521471,0.0001904159726109,0.0002261548215756,0.0002263187634525,0.0002525491290725,0.0002636970311868,0.0002733694564085,0.0002817303757183,0.0003284531994722,602.7100219726562,11293.7802734375,1754.0899658203125,7314.97998046875,4570.27978515625,20023.970703125,1220.18994140625,8252.9599609375,16713.779296875,87246.9296875,5000.0,9152.1201171875,16890.7890625,3707.280029296875,3050.89990234375,0.0,0.0,6759.169921875,0.0,494.1400146484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.7100219726562,20022.01953125,9809.3603515625,7314.97998046875,5064.419921875,20023.970703125,1220.18994140625,8252.9599609375,16713.779296875,87246.9296875,5000.0,9152.1201171875,16890.7890625,3707.280029296875,3050.89990234375,0.0,8728.240234375,1296.0999755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OE_BTC,60998.035,2021-04-17 14:31:00.119741+00:00,0.0009277750734537,60999.17869532395,1.8223004609520663e-05,0,0
1,831,831,2021-04-17 14:32:00.119741+00:00,61057.53,6.22,1778767.1988272066,245526.6518268693,-5.093556683277711e-05,-5.519384649232961e-05,-0.0001190680341096,-0.0001649264158913,-0.0001773737021721,-0.0001803217455744,-0.0001906398829305,-0.0002035785000771,-0.0002037422673311,-0.0002962779544759,-0.0002964417217299,-0.0003257583593949,-0.0003755474463105,-0.0003843915765173,-0.0004666091117542,299.29998779296875,5000.0,67155.2890625,16482.810546875,915.7000122070312,16427.05078125,915.6900024414062,21971.66015625,915.6799926757812,26030.66015625,152598.5625,20015.150390625,1116.199951171875,1000.0,73106.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216110.515625,0.0,0.0,0.0,0.0,299.29998779296875,5000.0,67155.2890625,16482.810546875,915.7000122070312,16427.05078125,915.6900024414062,21971.66015625,915.6799926757812,26030.66015625,370630.3125,20015.150390625,1116.199951171875,1000.0,73106.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1921.22998046875,0.0,0.0,0.0,0.0,5.093556683277711e-05,5.617652641376481e-05,5.977968612569384e-05,0.0001559185184305,0.0001560823002364,0.0002369896101299,0.0002378085046075,0.0002748227852862,0.0003115095023531,0.0003192071453668,0.0003323095443192,0.0003452481760177,0.0003637553018052,0.0003639190690591,0.0004202593991067,603.280029296875,603.280029296875,3053.06005859375,4614.64990234375,2384.550048828125,20026.419921875,9160.8095703125,9161.150390625,17839.890625,916.1599731445312,916.1699829101562,5000.0,4171.14013671875,9161.9599609375,1197.8399658203125,0.0,0.0,0.0,0.0,700.260009765625,0.0,0.0,603.4099731445312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.3800048828125,980.2000122070312,3053.06005859375,4614.64990234375,4444.77001953125,20026.419921875,9160.8095703125,9764.5595703125,17839.890625,916.1599731445312,916.1699829101562,5000.0,4171.14013671875,9161.9599609375,1197.8399658203125,135.10000610351562,376.9200134277344,0.0,0.0,1359.9599609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OE_BTC,61057.53,2021-04-17 14:32:00.119741+00:00,0.0009753592882131,61014.39416394071,1.9660100360318263e-05,0,0
2,832,832,2021-04-17 14:33:00.119741+00:00,61026.03,7.46,916616.2017113864,222469.0589846592,-6.112145638326183e-05,-0.0001004489386104,-0.0001012682623695,-0.0001092976235668,-0.0001140496897278,-0.0001186379013233,-0.000131583190523,-0.0002924981235992,-0.0002926620072685,-0.0002928258618339,-0.0003059350128751,-0.0003249433066229,-0.0003963882336392,-0.0003965520882047,-0.000396715971874,458.3299865722656,586.469970703125,6.099999904632568,602.8699951171875,297.5,5000.0,8.90999984741211,26017.3203125,21958.359375,921.219970703125,921.2100219726562,921.1900024414062,4611.8701171875,3341.5400390625,1000.0,0.0,0.0,174516.765625,0.0,0.0,0.0,30012.919921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.3299865722656,586.469970703125,174516.765625,602.8699951171875,297.5,5000.0,30021.830078125,26017.3203125,21958.359375,921.219970703125,921.2100219726562,921.1900024414062,4611.8701171875,3341.5400390625,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.112145638326183e-05,6.276010390138255e-05,6.6365122620482e-05,6.652898446191102e-05,6.7512177338358e-05,0.0001073312450898,0.0001206042725243,0.00020450289594,0.0002046667650574,0.0002090911002596,0.0002752923755906,0.000293645192869,0.0003334642678964,0.0003877034178003,0.0004198208625894,602.969970703125,602.97998046875,6103.009765625,67133.1015625,4911.97998046875,8756.669921875,1220.6700439453125,4614.669921875,69057.1484375,507.260009765625,3543.949951171875,5000.0,16152.8701171875,12784.849609375,587.0900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3970.580078125,0.0,86758.421875,0.0,0.0,0.0,0.0,602.969970703125,602.97998046875,6103.009765625,67133.1015625,4911.97998046875,8756.669921875,1220.6700439453125,4614.669921875,73027.7265625,507.260009765625,90816.9375,5000.0,16152.8701171875,12784.849609375,587.0900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.5599975585939,0.0,0.0,0.0,0.0,OE_BTC,61026.03,2021-04-17 14:33:00.119741+00:00,-0.0005159068832296,61022.59772912726,-5.462390213930317e-07,0,0
3,833,833,2021-04-17 14:34:00.119741+00:00,60988.25,3.52,227901.58697134105,104775.82365880674,-2.885801768570673e-05,-3.0005779990460724e-05,-4.21392651333008e-05,-8.411456656176597e-05,-0.0001214988151332,-0.0001275655522476,-0.0001406828378094,-0.0001498649362474,-0.0001538001233711,-0.0001774112170096,-0.0001938078203238,-0.0001939717913046,-0.0002234856656286,-0.0002774304884951,-0.0002775944594759,1775.8900146484375,85380.9921875,121.97000122070312,4389.72998046875,5000.0,920.8099975585938,920.7899780273438,20017.900390625,920.780029296875,17348.259765625,21946.939453125,15.15999984741211,2393.070068359375,6097.1298828125,20015.849609375,0.0,87834.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1775.8900146484375,173689.25,121.97000122070312,4389.72998046875,5000.0,920.8099975585938,920.7899780273438,20017.900390625,920.780029296875,17348.259765625,21946.939453125,0.0,2393.070068359375,6097.1298828125,20015.849609375,0.0,548.8800048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.885801768570673e-05,3.148147516185418e-05,5.7224136980948976e-05,8.067127782851458e-05,8.411456656176597e-05,8.575422543799505e-05,8.673802221892403e-05,0.0001341242023045,0.0001464216475142,0.0001923321251524,0.0001924960961332,0.000203809744562,0.0002218460140284,0.0002349632850382,0.0002702159981708,25.690000534057614,3049.510009765625,6099.169921875,894.1599731445312,7744.14990234375,2887.419921875,30624.859375,3049.820068359375,20023.830078125,4614.6298828125,3621.06005859375,5690.009765625,921.1300048828124,921.1400146484376,67105.203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560306.8125,25.690000534057614,3049.510009765625,6099.169921875,894.1599731445312,7744.14990234375,2988.679931640625,30624.859375,3049.820068359375,20023.830078125,4614.6298828125,3621.06005859375,5690.009765625,921.1300048828124,921.1400146484376,629139.375,0.0,0.0,0.0,0.0,0.0,101.26000213623048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1727.3299560546875,OE_BTC,60988.25,2021-04-17 14:34:00.119741+00:00,-0.0006190800876281,61023.62192677624,-3.753284183775382e-05,0,0
4,834,834,2021-04-17 14:35:00.119741+00:00,60972.72,1.46,231018.53844685765,117812.9571859174,-1.1972567335760688e-05,-4.182198244961911e-05,-5.182645691093058e-05,-0.0001005367666948,-0.0001007007740554,-0.0001423587527824,-0.0001800805330276,-0.0002004175039473,-0.000230922945775,-0.0002315789752174,-0.0002317429898539,-0.0002319069899385,-0.0002322350046597,-0.0003203071828465,-0.0003514686541166,103.6500015258789,5000.0,1000.0,21943.400390625,199.0,20013.16015625,21940.94921875,20011.400390625,23405.08984375,87900.3984375,85760.296875,97355.7265625,615.6799926757812,6095.31982421875,9142.6904296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3047.929931640625,216091.1875,85341.9765625,0.0,0.0,103.6500015258789,5000.0,1000.0,21943.400390625,199.0,20013.16015625,21940.94921875,20011.400390625,23405.08984375,87900.3984375,88808.2265625,316563.75,85957.671875,6095.31982421875,9142.6904296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3116.820068359375,0.0,0.0,0.0,1.1972567335760688e-05,9.430447244085371e-05,0.0001387505762977,0.0001753243122948,0.0002346951223444,0.0002386313135502,0.0002458476519677,0.0002460116520524,0.0002463396813254,0.0002517519169487,0.0002627404464874,0.000262904446572,0.000267168652499,0.0002706128288991,0.0002765170938801,249.5399932861328,2558.739990234375,16464.919921875,1197.31005859375,3049.35009765625,920.9099731445312,2592.340087890625,6098.77001953125,67086.5078125,920.9199829101562,4614.43017578125,920.9299926757812,9373.08984375,20020.830078125,20331.19921875,0.0,602.469970703125,0.0,0.0,7578.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1712.8399658203125,0.0,0.0,249.5399932861328,3651.389892578125,16464.919921875,1197.31005859375,10627.599609375,920.9099731445312,2592.340087890625,6098.77001953125,67086.5078125,920.9199829101562,4614.43017578125,920.9299926757812,25569.939453125,20020.830078125,20331.19921875,0.0,490.1799926757813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14484.01953125,0.0,0.0,OE_BTC,60972.72,2021-04-17 14:35:00.119741+00:00,-0.000254639213291,61016.205850597726,-8.271057277541421e-05,0,0
5,835,835,2021-04-17 14:36:00.119741+00:00,61036.925,0.01,295927.0767888038,121934.1283937072,-8.19176264599264e-08,-2.4575288648520644e-07,-0.0001185348082799,-0.000152776367031,-0.0002381345402682,-0.0002382983802817,-0.0002692632260732,-0.0003251310554333,-0.0003474126569926,-0.0003618301416281,-0.0003619939961936,-0.0003623216471169,-0.0003934503474738,-0.0004122914106119,-0.0004611143085639,3282.320068359375,8963.7998046875,5669.259765625,327.1000061035156,21963.48046875,376.7699890136719,5000.0,21960.859375,6101.56982421875,26020.16015625,17784.119140625,20011.5390625,6768.08984375,3050.590087890625,84.7699966430664,83620.578125,935166.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26020.16015625,0.0,0.0,0.0,0.0,86999.7109375,958101.5625,5669.259765625,327.1000061035156,21963.48046875,376.7699890136719,5000.0,21960.859375,6101.56982421875,26020.16015625,43804.28125,20011.5390625,6768.08984375,3050.590087890625,84.7699966430664,96.8000030517578,13971.5595703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.19176264599264e-08,1.064929165295325e-06,1.351640821667388e-05,2.662322913238313e-05,3.989388278569095e-05,6.381382991094142e-05,0.0001182071355287,0.0001545785635244,0.0001950458681676,0.0002060228289337,0.0002061866689473,0.0002063504944089,0.0002065143344225,0.0002066781744359,0.0002415750786894,74588.1875,218868.09375,921.6699829101562,921.6799926757812,921.6900024414062,22993.6796875,6613.47021484375,5000.0,3052.43994140625,5215.91015625,26.29999923706055,45.34000015258789,8.329999923706055,27.3799991607666,1221.030029296875,418577.3125,0.0,0.0,0.0,0.0,4828.1201171875,0.0,0.0,0.0,233734.5625,6104.9501953125,130546.796875,122969.46875,13415.41015625,0.0,497070.125,218868.09375,921.6699829101562,921.6799926757812,921.6900024414062,27840.220703125,6613.47021484375,5000.0,3052.43994140625,240527.28125,6131.25,130592.140625,122977.796875,13442.7900390625,1221.030029296875,3904.6298828125,0.0,0.0,0.0,0.0,18.420000076293945,0.0,0.0,0.0,1576.81005859375,0.0,0.0,0.0,0.0,0.0,OE_BTC,61036.925,2021-04-17 14:36:00.119741+00:00,0.0010530119043401,60997.30508926113,-0.0001262735727264,0,0
6,836,836,2021-04-17 14:37:00.119741+00:00,61013.845,0.01,359583.1283101357,132339.68508945435,-8.194861322863292e-08,-8.72752716531977e-05,-9.284778207074852e-05,-0.0002323243243154,-0.0002511724887881,-0.0002693650894798,-0.0002765765821095,-0.0002891966432798,-0.0003213205200154,-0.0003509859088808,-0.0003511498216539,-0.0003513137053232,-0.0003514775889925,-0.0003529526875354,-0.0003632782027125,14155.669921875,500.2699890136719,4551.3701171875,5796.64990234375,921.0800170898438,921.0599975585938,20010.169921875,921.0399780273438,5000.0,13723.5400390625,21952.69921875,1000.0,321.8800048828125,21951.94921875,20009.259765625,162094.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179569.9375,500.2699890136719,4551.3701171875,5796.64990234375,921.0800170898438,921.0599975585938,20010.169921875,921.0399780273438,5000.0,13723.5400390625,21952.69921875,1000.0,321.8800048828125,21951.94921875,20009.259765625,3319.820068359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.194861322863292e-08,1.3931264675193231e-06,7.293426733667729e-06,2.204417614848353e-05,2.5977709810831584e-05,2.696109368116595e-05,2.7124991902383044e-05,2.8436168577172804e-05,5.187347051105462e-05,8.23583541205153e-05,8.596409315941855e-05,0.0001007148457574,0.0001413613645127,0.0001469338603783,0.0001480811479268,123584.7734375,19736.5390625,24954.83984375,20018.2109375,4942.25,8.409999847412111,563.780029296875,202126.4375,97.87000274658205,4942.52978515625,5000.0,1220.4000244140625,6102.25,3051.139892578125,13131.7001953125,303380.34375,0.0,0.0,0.0,0.0,0.0,62592.3203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427065.0,19736.5390625,24954.83984375,20018.2109375,4942.25,8.409999847412111,72897.3203125,202126.4375,97.87000274658205,4942.52978515625,5000.0,1220.4000244140625,6102.25,3051.139892578125,13131.7001953125,99.9000015258789,0.0,0.0,0.0,0.0,0.0,9741.2197265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OE_BTC,61013.845,2021-04-17 14:37:00.119741+00:00,-0.000378131762044,60966.088607351456,-0.0001598823998989,0,0
7,837,837,2021-04-17 14:38:00.119741+00:00,60924.405,0.01,149386.85597816945,172060.94344203945,-8.206891521922446e-08,-2.462067527631007e-07,-1.7480679161963053e-05,-7.08254738128744e-05,-7.295926479855552e-05,-9.495373524259776e-05,-9.511787357041612e-05,-9.872890950646251e-05,-0.0001551923196529,-0.0001558488729642,-0.0001693081721896,-0.0001796488650143,-0.0001811261026887,-0.000192779887584,-0.0001934364408953,2718.639892578125,20011.970703125,20012.150390625,20012.7109375,250.1000061035156,5826.7998046875,6.090000152587892,3719.050048828125,21924.810546875,21924.08984375,1000.0,919.7899780273438,5000.0,919.780029296875,13705.580078125,19738.30078125,2174.47998046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22456.939453125,22186.4609375,20012.150390625,20012.7109375,0.0,5826.7998046875,6.090000152587892,3719.050048828125,21924.810546875,21924.08984375,1000.0,919.7899780273438,5000.0,919.780029296875,13705.580078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.206891521922446e-08,1.3951715800430977e-06,4.677928245655494e-06,4.842066118726507e-06,6.15516864854726e-06,3.652066880022176e-05,0.0001399275060975,0.000156013018568,0.0002100143610732,0.0002121481520589,0.0002489150210749,0.0003024239558726,0.0003025881014764,0.0003027522470802,0.0003037370624952,1861.1500244140625,2694.6298828125,2154.280029296875,14678.8095703125,215601.15625,3046.330078125,1414.530029296875,2924.830078125,6093.72021484375,1218.75,5000.0,12277.080078125,15762.740234375,105.5500030517578,2925.260009765625,0.0,0.0,0.0,16261.5,2154.280029296875,9914.16015625,140105.09375,0.0,0.0,0.0,0.0,0.0,0.0,4936.3701171875,0.0,1861.1500244140625,2877.39990234375,2154.280029296875,33935.2890625,217755.4375,12960.490234375,149036.046875,2924.830078125,6093.72021484375,1218.75,5000.0,12277.080078125,15762.740234375,5041.919921875,2925.260009765625,0.0,182.7700042724609,0.0,2994.989990234375,0.0,0.0,7516.41015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OE_BTC,60924.405,2021-04-17 14:38:00.119741+00:00,-0.0014658967976858,60929.01046874957,-0.0001789419504246,0,0
8,838,838,2021-04-17 14:39:00.119741+00:00,60877.195,0.01,123199.74043885744,153475.9991854559,-8.213255853206648e-08,-2.463976898070541e-07,-1.3387607395998202e-05,-1.6344380128430206e-05,-2.6693081963458105e-05,-3.934149572160095e-05,-3.983429269283079e-05,-4.2462535930098966e-05,-5.3304032917367294e-05,-7.515129254898055e-05,-0.0001140821259468,-0.0001275518734473,-0.0001367507211398,-0.0001446354435756,-0.0001497276534792,224031.65625,304.3900146484375,919.22998046875,3770.60009765625,6992.33984375,1975.3900146484373,919.2100219726562,20012.4296875,21909.349609375,483.3299865722656,16914.109375,484.4599914550781,357.29998779296875,1521.7099609375,249.1699981689453,302423.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11695.6396484375,0.0,0.0,608.6799926757812,526871.0625,0.0,919.22998046875,3770.60009765625,6992.33984375,1975.3900146484373,919.2100219726562,20012.4296875,21909.349609375,0.0,16914.109375,12180.099609375,357.29998779296875,1521.7099609375,608.6799926757812,415.6300048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.213255853206648e-08,9.305619460064918e-05,9.995533036999404e-05,0.0001114538899855,0.000178474059794,0.0001786383218131,0.0001794596464606,0.0002292319841217,0.0002293962461408,0.0002497651148587,0.0002602780878078,0.0002778544439934,0.0002836037310771,0.0003402752045076,0.0003553876013029,3868.989990234375,3044.139892578125,6088.330078125,1596.739990234375,692.969970703125,26.29999923706055,405.8999938964844,4722.16015625,21433.75,2892.389892578125,1217.8599853515625,3044.7099609375,20019.5703125,2923.10009765625,20020.390625,5905.14990234375,0.0,0.0,0.0,20019.810546875,24903.220703125,2161.719970703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10051.150390625,3044.139892578125,6088.330078125,1596.739990234375,20712.779296875,24929.51953125,2567.6298828125,4722.16015625,21433.75,2892.389892578125,1217.8599853515625,3044.7099609375,20019.5703125,2923.10009765625,20020.390625,277.010009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OE_BTC,60877.195,2021-04-17 14:39:00.119741+00:00,-0.0007748947240436,60899.19774726349,-0.0001839056000954,0,0
9,839,839,2021-04-17 14:40:00.119741+00:00,60839.805,0.01,302838.31395600626,425058.975684906,-8.218303548801489e-08,-8.423761028097942e-05,-0.0001144809721154,-0.0001203981519211,-0.0001458748884033,-0.0001519564393674,-0.0001775975397322,-0.0001795699354261,-0.0001841721823439,-0.0002375911572016,-0.000237755535636,-0.0002453163615427,-0.0002809838042594,-0.0002964342129416,-0.0002979135024361,4849.35009765625,211.5599975585937,60.83000183105469,20010.599609375,304.1499938964844,12.170000076293944,580.4099731445312,2007.3499755859373,20010.140625,17131.5,304.1300048828125,572.3599853515625,304.1099853515625,930.5700073242188,20009.5703125,0.0,0.0,5000.0,0.0,0.0,4927.27978515625,0.0,0.0,0.0,0.0,69985.640625,80398.0234375,0.0,2932.8701171875,0.0,5905.31005859375,0.0,5060.830078125,20010.599609375,0.0,4927.27978515625,0.0,0.0,20010.140625,17131.5,60861.83984375,80970.3828125,304.1099853515625,3863.43994140625,20009.5703125,1360.1500244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.218303548801489e-08,7.149924385885243e-06,1.3395835594565144e-05,2.670948742888868e-05,3.9858772652223706e-05,9.130535181611776e-05,9.2127185780555e-05,0.0001141522370744,0.0001154671699623,0.0001489978458266,0.0001674068480497,0.0001675712119322,0.0001751320523908,0.0001891031715786,0.0001941985246958,264008.40625,66924.2578125,918.6900024414062,918.7100219726562,918.719970703125,4928.47021484375,21899.080078125,478.1099853515625,3856.780029296875,9198.98046875,25850.25,54714.16015625,85190.640625,20019.3203125,24803.0703125,14579.75,97329.78125,0.0,0.0,0.0,0.0,0.0,660567.5,0.0,0.0,0.0,0.0,0.0,0.0,241470.984375,279806.5,164254.046875,918.6900024414062,918.7100219726562,918.719970703125,4928.47021484375,21899.080078125,663120.0625,3856.780029296875,9198.98046875,25850.25,54714.16015625,85190.640625,20019.3203125,266321.8125,1218.3399658203125,0.0,0.0,0.0,0.0,0.0,0.0,2074.469970703125,0.0,0.0,0.0,0.0,0.0,0.0,47.77000045776367,OE_BTC,60839.805,2021-04-17 14:40:00.119741+00:00,-0.0006141872995297,60888.42680437557,-0.0001800366206583,0,0
