,index,Unnamed: 0,date,close,tic,open,high,low,adjcp,zopen,zhigh,zlow,zadjcp,zclose,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30,YUAN,pct_return,key_indicator_filtered,pct_return_filtered,label
162,162,162,2018-08-16,0.1453657402023491,YUAN,0.1453657402023491,0.1453657402023491,0.1453657402023491,0.1453657402023491,0.0,0.0,0.0,0.0,0.0078206768228867,-0.0008811459032418,0.0029676606717414,0.005098856400598,0.0074670514242458,0.0109318530083564,0.0150073278129945,YUAN,0.0078206768228865,0.1453021156930791,0.0001224255258795,1
163,163,163,2018-08-17,0.1454757055571719,YUAN,0.1454757055571719,0.1454757055571719,0.1454757055571719,0.1454757055571719,0.0,0.0,0.0,0.0,0.0007564736688971,-0.0024602444988683,0.0015785591731518,0.0037096061146664,0.0059066462331927,0.0090675382745708,0.0130633041795662,YUAN,0.0007564736688969,0.1454097915341213,0.0007410479918241,1
164,164,164,2018-08-20,0.1458874332564993,YUAN,0.1458874332564993,0.1458874332564993,0.1458874332564993,0.1458874332564993,0.0,0.0,0.0,0.0,0.0028302162051769,-0.0043057272589057,-0.001315277854313,0.000442265915644,0.0026121114412522,0.0052147238553585,0.0089827468453695,YUAN,0.0028302162051765,0.1455922238656836,0.0012546083013913,1
165,165,165,2018-08-21,0.1461048448366547,YUAN,0.1461048448366547,0.1461048448366547,0.1461048448366547,0.1461048448366547,0.0,0.0,0.0,0.0,0.0014902694173333,-0.0047264642027474,-0.0030415599353108,-0.0014442609244105,0.0007284893099246,0.0028677976309019,0.0064013234065318,YUAN,0.0014902694173331,0.1458229175524918,0.0015845192873833,1
166,166,166,2018-08-22,0.1461988304093567,YUAN,0.1461988304093567,0.1461988304093567,0.1461988304093567,0.1461988304093567,0.0,0.0,0.0,0.0,0.0006432748538021,-0.0026834657695403,-0.0037644043804891,-0.0023268252932014,-0.0004631864185428,0.0014851644555198,0.004937539464946,YUAN,0.0006432748538014,0.1460697757108416,0.0016928625657277,1
167,167,167,2018-08-23,0.1454587769826031,YUAN,0.1454587769826031,0.1454587769826031,0.1454587769826031,0.1454587769826031,0.0,0.0,0.0,0.0,-0.0050619654389941,0.0025185226595014,0.000499165544223,0.00239027640091,0.0039716200658412,0.0059618374696148,0.0089907968074895,YUAN,-0.0050619654389946,0.1463008790231042,0.0015821432677494,1
168,168,168,2018-08-24,0.1469939732470968,YUAN,0.1469939732470968,0.1469939732470968,0.1469939732470968,0.1469939732470968,0.0,0.0,0.0,0.0,0.0105541672791413,-0.0058859658089537,-0.0093247870451372,-0.0078063356057044,-0.0064646049525938,-0.0047637029872883,-0.002110072121065,YUAN,0.0105541672791411,0.1464892989860112,0.0012878935804432,1
169,169,169,2018-08-27,0.1467459094577738,YUAN,0.1467459094577738,0.1467459094577738,0.1467459094577738,0.1467459094577738,0.0,0.0,0.0,0.0,-0.0016875779587637,-0.0030354677191527,-0.0065830460882848,-0.0057836021992108,-0.0048166725184993,-0.0032096981111089,-0.0010608019545507,YUAN,-0.0016875779587642,0.1466166349006288,0.0008692506244412,1
170,170,170,2018-08-28,0.1470199064953394,YUAN,0.1470199064953394,0.1470199064953394,0.1470199064953394,0.1470199064953394,0.0,0.0,0.0,0.0,0.0018671528124911,-0.0036486703718754,-0.0072848915688379,-0.0073806870935487,-0.0066566711968993,-0.005129823071132,-0.0034198768303023,YUAN,0.0018671528124907,0.1466750183739331,0.0003982049741075,1
171,171,171,2018-08-29,0.1466490687784132,YUAN,0.1466490687784132,0.1466490687784132,0.1466490687784132,0.1466490687784132,0.0,0.0,0.0,0.0,-0.0025223639829882,-0.000515119439879,-0.0031302609686598,-0.0047203881047699,-0.0041711725874193,-0.0029285757228345,-0.0014104954887381,YUAN,-0.0025223639829886,0.1466671490504682,-5.365142307212079e-05,1
